# evals,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25,trial26,trial27,trial28,trial29,trial30
900.0,5098.770077517961,3196.535993688129,4592.530099898803,4201.32895220653,4264.937376418346,7891.782801517235,6513.951355715072,5480.164518686109,3944.3484278334795,7053.4667023323145,7777.734192489576,7087.093092014911,3681.1906559659747,3835.9318108119746,4594.413549540114,4333.003924601081,3600.9315069870363,5562.504365244534,6070.0787425299695,6431.986175362124,6482.837948800873,5049.356152631753,4302.833880309072,5277.405430528298,2738.314099302854,3741.969477647589,4289.617208748409,4617.987660679842,5124.76955289431,6644.575232494483
950.0,5098.770077517961,3196.535993688129,4592.530099898803,3923.252347630692,4164.26196611102,7661.919677679725,5455.663721629894,4956.651684543026,3944.3484278334795,4262.6357084735655,4335.366786298505,7087.093092014911,3681.1906559659747,3835.9318108119746,4594.413549540114,4333.003924601081,3600.9315069870363,3181.1460775357605,5795.999198898936,5560.746121048933,4965.31194308336,4636.312677478802,4302.833880309072,4585.97999186944,2738.314099302854,2895.9641480565638,3419.53350334288,4355.124033202395,2999.0479529653717,4228.965264596775
1000.0,4642.404984944456,3196.535993688129,4592.530099898803,3830.739872346493,4164.26196611102,6510.082948476336,4006.4823319777856,4112.725354582848,3251.7289688826836,4262.6357084735655,4335.366786298505,6667.769637659709,3209.4226259950747,3835.9318108119746,4546.664814952274,4333.003924601081,2512.0963109068084,2707.471244286637,5090.158107942562,4631.206257222202,4106.212965780063,2765.991917811165,4302.833880309072,4585.97999186944,2603.0427166228283,2895.9641480565638,2899.1943053984255,3270.900299962,2999.0479529653717,4228.965264596775
1050.0,4642.404984944456,3196.535993688129,4430.526239586464,3686.4377543269275,2818.394742701667,6510.082948476336,4006.4823319777856,4065.1912791556615,2656.90019061169,3207.574607779386,4335.366786298505,5064.804566179017,2262.982798617596,3793.106553616743,3174.795058027513,3967.2911105631606,2512.0963109068084,2707.471244286637,4922.562987616684,4174.230521328268,4106.212965780063,2763.6955544786474,3253.5727632413978,3324.425711738247,2309.359093249434,2895.9641480565638,2895.8578624880324,3270.900299962,2847.780335322548,4228.965264596775
1100.0,4238.09260128654,3196.535993688129,3210.22687832433,3303.078918889198,2818.394742701667,6510.082948476336,4006.4823319777856,3904.516289437113,2656.90019061169,3207.574607779386,3871.295617415897,5064.804566179017,2262.982798617596,3793.106553616743,2925.469293673772,3967.2911105631606,2512.0963109068084,2707.471244286637,4922.562987616684,4174.230521328268,3615.878465907107,2763.6955544786474,3253.5727632413978,3324.425711738247,2210.6006568833764,2895.9641480565638,2895.8578624880324,2332.356455636093,2594.1609058243293,4228.965264596775
1150.0,3719.918590317796,3196.535993688129,3198.3313341858166,3303.078918889198,2803.1456127071447,5116.554335362705,3849.7034414891596,2663.1540731366954,2656.90019061169,3062.5987779126503,3871.295617415897,5064.804566179017,2262.982798617596,2557.470452181621,2601.3932902070433,3460.9293386072895,2512.0963109068084,2707.471244286637,4922.562987616684,3960.1211381590965,3615.878465907107,2763.6955544786474,2688.217331508317,3324.425711738247,1705.392738780541,2441.964250934297,2616.1931154681633,2332.356455636093,2594.1609058243293,4228.965264596775
1200.0,3450.1614990266307,1906.7315412686387,3198.3313341858166,2644.5011106143975,2775.9405558796,4491.22903575887,3722.11316121108,2663.1540731366954,2656.90019061169,2963.085986264334,3871.295617415897,2991.2804537564634,2262.982798617596,1354.2565769692656,2601.3932902070433,3460.9293386072895,2298.196044602108,2707.471244286637,2267.273060333322,3325.785578194376,3331.904098104009,2763.6955544786474,2688.217331508317,2881.0503399653444,1456.7394407408344,1756.2605123742665,2447.255837613725,2332.356455636093,2592.603322588456,3707.764483315629
1250.0,3450.1614990266307,1906.7315412686387,3198.3313341858166,2034.3691632800255,1820.9419053584168,4227.656735839173,2774.437412358557,1888.0418347492648,2522.985361097857,2963.085986264334,3437.661025482891,2991.2804537564634,2262.982798617596,1354.2565769692656,2601.3932902070433,2243.8668218303087,1893.836013623239,2707.471244286637,2267.273060333322,3253.027599581322,3152.1525370397185,2763.6955544786474,2189.1289678779613,2881.0503399653444,1456.7394407408344,1756.2605123742665,1543.2683450425782,1474.7899849213418,2320.068842062773,3355.1483627185835
1300.0,3084.4794905617628,1906.7315412686387,3198.3313341858166,2034.3691632800255,1820.9419053584168,3355.8108015184444,2774.437412358557,1830.9634583304398,2121.85850312399,2963.085986264334,1706.8569181924447,2991.2804537564634,2035.8824174183221,1354.2565769692656,2027.0276555514913,2015.1109286448648,1893.836013623239,2637.988933680849,2230.967116332848,3253.027599581322,3152.1525370397185,2332.8734253424955,1881.9390292588034,2881.0503399653444,1456.7394407408344,1756.2605123742665,1543.2683450425782,1474.7899849213418,2320.068842062773,2732.612593696784
1350.0,2564.393153533652,1876.0690409771746,3104.1758891660497,1263.556777756052,1798.5902073369007,3251.043257555638,2022.0005568241895,1830.9634583304398,2121.85850312399,2963.085986264334,1706.8569181924447,1853.202378873222,2035.8824174183221,1354.2565769692656,1554.946294365959,2015.1109286448648,1893.836013623239,2637.0549850207435,2230.967116332848,2320.992340222133,3152.1525370397185,2332.8734253424955,1665.764651390023,2327.464724455765,1456.7394407408344,1464.4430761288734,1543.2683450425782,1474.7899849213418,1722.7754440187518,2021.0793319202864
