# evals,min,q25,med,q75,max,ave
2200.0,3740.287778195683,4394.700150545367,5607.306659577468,6052.07259557233,9746.5646131224,5476.164127053157
2250.0,3299.1331417458373,4111.31127426421,5251.482118948272,5977.041247716701,9746.5646131224,5276.521965581645
2300.0,3020.536427002269,3991.5640118118317,4887.811063901037,5614.008335058228,6500.37592895918,4839.216949438684
2350.0,3007.044795977766,3963.5193478844376,4887.811063901037,5414.064132390044,6135.593982606978,4706.937353949348
2400.0,2921.9211446234485,3954.3549406328216,4438.917594112543,5306.157144176805,6135.593982606978,4492.376867898279
2450.0,2837.8096672105903,3728.1928388366414,4347.112834428861,5079.058178121124,6135.593982606978,4363.919096389428
2500.0,2837.8096672105903,3728.1928388366414,4078.76913640804,4865.62827300122,5993.747335017719,4165.920410671982
2550.0,2473.5873774325228,3218.52046555688,3986.4180620509555,4662.009281739925,5993.747335017719,3968.5338497472962
2600.0,2423.170565937857,3078.3480110337505,3964.931691676953,4363.67927218976,5627.720619527433,3817.290555011076
2650.0,2330.357588688339,2888.1723963572867,3897.431870355468,4363.67927218976,5627.720619527433,3722.1444315496274
2700.0,2330.357588688339,2829.8214330001274,3189.037136326254,3967.9444697016056,5371.450258805912,3414.093656029027
2750.0,2313.7466991388087,2648.3997651950717,3151.88695650578,3878.853638375894,5371.450258805912,3343.4601074192883
2800.0,2161.1255962634227,2557.3277000979474,3000.9032083053817,3403.597855557732,5371.450258805912,3211.712044689668
2850.0,1383.3928163880175,2486.380663398547,2840.604415029831,3108.831258614222,5371.450258805912,3012.8747064320096
2900.0,1370.2691415073598,2399.2293460148326,2799.4458239410833,3060.6849334754834,5371.450258805912,2879.0189457799506
2950.0,1370.2691415073598,2257.466099494739,2708.324336932129,3060.6849334754834,4669.331952879468,2738.8597555095166
3000.0,1370.2691415073598,2232.7594933714136,2567.822952567185,3060.6849334754834,4669.331952879468,2680.80477299778
3050.0,1370.2691415073598,2224.231024356188,2446.416422409993,2945.422837069823,4669.331952879468,2593.182217345496
3100.0,1370.2691415073598,1934.9767703619564,2389.5398830459444,2900.143022753784,4537.931539020669,2490.4690089731416
3150.0,1200.0314057824803,1827.0875193729444,2374.1208918610196,2768.0942057732927,4537.931539020669,2378.683591283771
3200.0,997.3099139087245,1435.9318298225899,2277.8732512556135,2576.3309563020803,4537.931539020669,2185.592773019155
3250.0,997.3099139087245,1435.9318298225899,2050.382422735648,2501.918510637263,4385.402700357785,2107.8547633475705
3300.0,997.3099139087245,1435.9318298225899,1964.444438590921,2401.1010613966805,4385.402700357785,2016.9099484260514
3350.0,997.3099139087245,1405.943430175018,1816.4735578133555,2223.94806712314,3745.969456123547,1908.4351153798968
3400.0,968.595328913958,1371.4899886781873,1770.03889156901,2205.6786987577893,3745.969456123547,1823.8699566729856
3450.0,749.4038634467422,1174.4633655208863,1685.5085315393278,2072.4167019319502,3115.8460977559007,1680.6173938822005
3500.0,749.4038634467422,1115.6213299108927,1372.710835849015,1958.1093332054081,2729.514394045068,1511.3412159697073
3550.0,662.2315756292497,1095.917259588359,1348.2588065462382,1946.7887250430872,2729.514394045068,1463.6954003221285
3600.0,662.2315756292497,1059.5247303274982,1256.1823618092449,1707.547607337447,2729.514394045068,1393.4071370545842
3650.0,662.2315756292497,1001.676736815911,1235.8521468607091,1600.9101783666833,2729.514394045068,1346.6393643834708
3700.0,662.2315756292497,975.7739751626497,1235.8521468607091,1575.9187801542892,2448.526558953478,1276.6938764899971
3750.0,662.2315756292497,852.0615306567905,1087.6399615836258,1344.1130850558523,2448.526558953478,1178.117759230772
3800.0,587.4696193295041,779.6224169654976,1009.9459264059241,1322.88635240963,2448.526558953478,1128.2921926398296
3850.0,537.4850100078995,770.1602297209686,981.398131057078,1226.7520998004095,2102.0012470514384,1071.0621840717508
3900.0,537.4850100078995,770.1602297209686,969.0187946669687,1148.3694881437107,2102.0012470514384,1039.8882226619735
3950.0,537.4850100078995,737.8312981657243,952.2809603427429,1091.6479289287022,2102.0012470514384,997.1090530403615
4000.0,537.4850100078995,737.8312981657243,938.8470999751921,1088.6393483634538,1675.149742574647,935.9348517450142
